$ PATH=/opt/homebrew/bin:$PATH ZZ_COMPAT_TMUX=... ZZ_COMPAT_CORPUS=... compat/tui-caps.sh target/debug/zz <pin>   (run 1 at 95d3644e, 2026-09-11T15:53:39-03:00)
outer-terminal capability differential (pin tmux)
ok    legacy alternate_on: both 1
ok    legacy bracket_paste_flag: both 1
ok    legacy cursor_flag: both 1
ok    legacy cursor_shape: both default
note  legacy wrap_flag: tmux 1, zz 0
note  legacy mouse_all_flag: tmux 0, zz 1
ok    legacy mouse_any_flag: both 1
note  legacy mouse_button_flag: tmux 1, zz 0
ok    legacy mouse_sgr_flag: both 1
ok    legacy mouse_standard_flag: both 0
ok    legacy mouse_utf8_flag: both 0
ok    legacy synchronized_output_flag: both 0
ok    legacy origin_flag: both 0
note  legacy keypad_flag: tmux 1, zz 0
note  legacy keypad_cursor_flag: tmux 1, zz 0
ok    legacy pane_key_mode: both VT10x
ok    restore/detached alternate_on: both 0
ok    restore/detached bracket_paste_flag: both 0
ok    restore/detached cursor_flag: both 1
ok    restore/detached cursor_shape: both default
ok    restore/detached wrap_flag: both 1
ok    restore/detached mouse_all_flag: both 0
ok    restore/detached mouse_any_flag: both 0
ok    restore/detached mouse_button_flag: both 0
ok    restore/detached mouse_sgr_flag: both 0
ok    restore/detached mouse_standard_flag: both 0
ok    restore/detached mouse_utf8_flag: both 0
ok    restore/detached synchronized_output_flag: both 0
ok    restore/detached origin_flag: both 0
ok    restore/detached keypad_flag: both 0
ok    restore/detached keypad_cursor_flag: both 0
ok    restore/detached pane_key_mode: both VT10x
ok    keys/off @extkey: both 
ok    extended alternate_on: both 1
ok    extended bracket_paste_flag: both 1
ok    extended cursor_flag: both 1
ok    extended cursor_shape: both default
note  extended wrap_flag: tmux 1, zz 0
note  extended mouse_all_flag: tmux 0, zz 1
ok    extended mouse_any_flag: both 1
note  extended mouse_button_flag: tmux 1, zz 0
ok    extended mouse_sgr_flag: both 1
ok    extended mouse_standard_flag: both 0
ok    extended mouse_utf8_flag: both 0
ok    extended synchronized_output_flag: both 0
ok    extended origin_flag: both 0
note  extended keypad_flag: tmux 1, zz 0
note  extended keypad_cursor_flag: tmux 1, zz 0
ok    extended pane_key_mode: both Ext 2
ok    keys/on @extkey: both C-Enter
ok    extended-always alternate_on: both 1
ok    extended-always bracket_paste_flag: both 1
